Perturbation,Accuracy,Count,Avg TED,Experiment,Model,Method
ambiguous_pronouns,58.25729927007299,2192,0.9009531568540399,gemini_systematic,gemini,systematic
column_variations,65.2127086698977,1857,0.9128286675112883,gemini_systematic,gemini,systematic
implicit_business_logic,69.01294498381877,1236,0.8920226066246966,gemini_systematic,gemini,systematic
incomplete_joins,35.66084788029925,401,0.8911911053637174,gemini_systematic,gemini,systematic
missing_where_details,38.13765182186235,1235,0.8341606182972374,gemini_systematic,gemini,systematic
original,73.49452554744525,2192,0.932751430746782,gemini_systematic,gemini,systematic
relative_temporal,78.52112676056338,284,0.8708644296420999,gemini_systematic,gemini,systematic
synonym_substitution,76.1405109489051,2192,0.9310241613933388,gemini_systematic,gemini,systematic
typos,72.47832040164309,2191,0.9243111138719675,gemini_systematic,gemini,systematic
under_specification,35.62956204379562,2192,0.8580516782826986,gemini_systematic,gemini,systematic
vague_aggregation,15.666666666666668,300,0.829611348990182,gemini_systematic,gemini,systematic
ambiguous_pronouns,52.865064695009245,541,0.9343047124686041,gemini_llm,gemini,llm
column_variations,74.1106719367589,506,0.9559303627798846,gemini_llm,gemini,llm
implicit_business_logic,82.96296296296296,270,0.9577398621271946,gemini_llm,gemini,llm
incomplete_joins,52.348993288590606,149,0.9170077542118462,gemini_llm,gemini,llm
missing_where_details,57.249070631970255,269,0.8854074653745632,gemini_llm,gemini,llm
original,83.54898336414048,541,0.9747208042376366,gemini_llm,gemini,llm
relative_temporal,80.64516129032258,62,0.9619696505696443,gemini_llm,gemini,llm
synonym_substitution,88.72458410351202,541,0.970847845648811,gemini_llm,gemini,llm
typos,83.88888888888889,540,0.9732340129941516,gemini_llm,gemini,llm
under_specification,8.872458410351202,541,0.8723288051174007,gemini_llm,gemini,llm
ambiguous_pronouns,46.0,2100,0.6524378336856398,deepseek_systematic,deepseek,systematic
column_variations,15.792442188381276,1773,0.26863187350323053,deepseek_systematic,deepseek,systematic
implicit_business_logic,10.09251471825063,1189,0.1989885987471626,deepseek_systematic,deepseek,systematic
incomplete_joins,28.428927680798004,401,0.5223758215670641,deepseek_systematic,deepseek,systematic
missing_where_details,9.503784693019345,1189,0.27394059205578414,deepseek_systematic,deepseek,systematic
original,24.523809523809522,2100,0.3360044927507297,deepseek_systematic,deepseek,systematic
relative_temporal,1.1111111111111112,270,0.08446383384938237,deepseek_systematic,deepseek,systematic
synonym_substitution,30.619047619047617,2100,0.39370316700049524,deepseek_systematic,deepseek,systematic
typos,43.095238095238095,2100,0.5166944651743467,deepseek_systematic,deepseek,systematic
under_specification,31.9047619047619,2100,0.7078060170200372,deepseek_systematic,deepseek,systematic
vague_aggregation,5.0,300,0.38081222576065193,deepseek_systematic,deepseek,systematic
ambiguous_pronouns,12.203202650469354,1811,0.5685181069354983,deepseek_llm,deepseek,llm
column_variations,31.61693936477382,2078,0.4365996326782385,deepseek_llm,deepseek,llm
implicit_business_logic,4.295774647887324,1420,0.59303617472232,deepseek_llm,deepseek,llm
incomplete_joins,7.311320754716981,424,0.499824216346592,deepseek_llm,deepseek,llm
missing_where_details,6.63109756097561,1312,0.3836315672239709,deepseek_llm,deepseek,llm
original,29.142857142857142,2100,0.36659133668968547,deepseek_llm,deepseek,llm
relative_temporal,40.6,500,0.5373429806746018,deepseek_llm,deepseek,llm
synonym_substitution,12.63762565820967,2089,0.47475026584514235,deepseek_llm,deepseek,llm
typos,31.380952380952383,2100,0.38743154161261006,deepseek_llm,deepseek,llm
under_specification,18.37649402390438,2008,0.5517956482412139,deepseek_llm,deepseek,llm
vague_aggregation,2.3333333333333335,300,0.6952321837507,deepseek_llm,deepseek,llm
